"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ophthalmic-service-request","ServiceRequest.locationCode","ServiceRequest.locationCode","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Requested location","The preferred location(s) where the procedure should actually happen in coded or free text form. E.g. at home or nursing day care center.","","","","","","","","","",,"example","A location type where services are delivered.","http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType","",,,,"ServiceRequest.locationCode",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.locationReference","ServiceRequest.locationReference","","","",0,1,"Y","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location|4.0.1]]}
","The facility where the order originated","A reference to the the preferred location(s) where the procedure should actually happen. E.g. at home or nursing day care center.","","","","","","","","","",,,,,"",,,,"ServiceRequest.locationReference",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.reasonCode","ServiceRequest.reasonCode","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Explanation/Justification for procedure or service","An explanation or justification for why this service is being requested in coded or textual form.   This is often for billing purposes.  May relate to the resources referred to in `supportingInfo`.","This element represents why the referral is being made and may be used to decide how the service will be performed, or even if it will be performed at all.   Use `CodeableConcept.text` element if the data is free (uncoded) text as shown in the [CT Scan example](http://hl7.org/fhir/R4/servicerequest-example-di.html).","","","","","","","","",,"example","Diagnosis or problem codes justifying the reason for requesting the service investigation.","http://hl7.org/fhir/ValueSet/procedure-reason|4.0.1","",,,,"ServiceRequest.reasonCode",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.reasonReference","ServiceRequest.reasonReference","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference|4.0.1]]}
","Explanation/Justification for service or service","Indicates another resource that provides a justification for why this service is being requested.   May relate to the resources referred to in `supportingInfo`.","This element represents why the referral is being made and may be used to decide how the service will be performed, or even if it will be performed at all.    To be as specific as possible,  a reference to  *Observation* or *Condition* should be used if available.  Otherwise when referencing  *DiagnosticReport*  it should contain a finding  in `DiagnosticReport.conclusion` and/or `DiagnosticReport.conclusionCode`.   When using a reference to *DocumentReference*, the target document should contain clear findings language providing the relevant reason for this service request.  Use  the CodeableConcept text element in `ServiceRequest.reasonCode` if the data is free (uncoded) text as shown in the [CT Scan example](http://hl7.org/fhir/R4/servicerequest-example-di.html).","","","","","","","","",,,,,"",,,,"ServiceRequest.reasonReference",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.insurance","ServiceRequest.insurance","","","",0,*,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Coverage|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/ClaimResponse|4.0.1]]}
","Insurance/coverage relevant to this request, when applicable","Insurance plans, coverage extensions, pre-authorizations and/or pre-determinations that may be needed for delivering the requested service.","","","","","","","","","",,,,,"",,,,"ServiceRequest.insurance",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.supportingInfo","ServiceRequest.supportingInfo","","Ask at order entry question
AOE","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}
","Additional clinical information","Additional clinical information about the patient or specimen that may influence the services or their interpretations.     This information includes diagnosis, clinical findings and other observations.  In laboratory ordering these are typically referred to as ""ask at order entry questions (AOEs)"".  This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example,  reporting the amount of inspired oxygen for blood gas measurements.","To represent information about how the services are to be delivered use the `instructions` element.","","","","","","","","",,,,,"",,,,"ServiceRequest.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.specimen","ServiceRequest.specimen","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen|4.0.1]]}
","Procedure Samples","One or more specimens that the laboratory procedure will use.","Many diagnostic procedures need a specimen, but the request itself is not actually about the specimen. This element is for when the diagnostic is requested on already existing specimens and the request points to the specimen it applies to.    Conversely, if the request is entered first with an unknown specimen, then the [Specimen](http://hl7.org/fhir/R4/specimen.html) resource points to the ServiceRequest.","","","","","","","","",,,,,"",,,,"ServiceRequest.specimen",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.bodySite","ServiceRequest.bodySite","","location
","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Location on Body","Anatomic location where the procedure should be performed. This is the target site.","Only used if not implicit in the code found in ServiceRequest.code.  If the use case requires BodySite to be handled as a separate resource instead of an inline coded element (e.g. to identify and track separately)  then use the standard extension [procedure-targetBodyStructure](http://hl7.org/fhir/R4/extension-procedure-targetbodystructure.html).","Knowing where the procedure is performed is important for tracking if multiple sites are possible.","","","","","","","",,"example","Codes describing anatomical locations. May include laterality.","http://hl7.org/fhir/ValueSet/body-site|4.0.1","",,,,"ServiceRequest.bodySite",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.note","ServiceRequest.note","","","",0,*,"Y","","","Annotation {[]} {[]}
","Comments","Any other notes and comments made about the service request. For example, internal billing notes.","","","","","","","","","",,,,,"",,,,"ServiceRequest.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.patientInstruction","ServiceRequest.patientInstruction","","","",0,1,"","","Y","string {[]} {[]}
","Patient or consumer-oriented instructions","Instructions in terms that are understood by the patient or consumer.","","","","","","","","","",,,,,"",,,,"ServiceRequest.patientInstruction",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ophthalmic-service-request","ServiceRequest.relevantHistory","ServiceRequest.relevantHistory","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Provenance|4.0.1]]}
","Request provenance","Key events in the history of the request.","This might not include provenances for all versions of the request – only those deemed “relevant” or important.This SHALL NOT include the Provenance associated with this current version of the resource.  (If that provenance is deemed to be a “relevant” change, it will need to be added as part of a later update.  Until then, it can be queried directly as the Provenance that points to this version using _revincludeAll Provenances should have some historical version of this Request as their subject.","","","","","","","","",,,,,"",,,,"ServiceRequest.relevantHistory",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
